,TS_ID,Team,Season,Conference,NatChamp,Playoff,ConfChamp,Heisman,Games,Win,Loss,Off.Rank,Off.Plays,Off.Yards,Off.Yards.Play,Off.TDs,Off.Yards.per.Game,Def.Rank,Def.Plays,Yards.Allowed,Yards.Play.Allowed,Off.TDs.Allowed,Total.TDs.Allowed,Yards.Per.Game.Allowed,First.Down.Rank,First.Down.Runs,First.Down.Passes,First.Down.Penalties,First.Downs,First.Down.Def.Rank,Opp.First.Down.Runs,Opp.First.Down.Passes,Opp.First.Down.Penalties,Opp.First.Downs,X4th.Down.Rank,X4th.Attempts,X4th.Conversions,X4th.Percent,X4rd.Down.Def.Rank,Opp.4th.Conversion,Opp.4th.Attempt,Opponent.4th.Percent,Kickoff.Return.Rank,Kickoffs.Returned,Kickoff.Return.Yards,Kickoff.Return.Touchdowns,Avg.Yard.per.Kickoff.Return,Passing.Off.Rank,Pass.Attempts,Pass.Completions,Interceptions.Thrown.x,Pass.Yards,Pass.Yards.Attempt,Yards.Completion,Pass.Touchdowns,Pass.Yards.Per.Game,Pass.Def.Rank,Opp.Completions.Allowed,Opp.Pass.Attempts,Opp.Pass.Yds.Allowed,Opp.Pass.TDs.Allowed,Yards.Attempt.Allowed,Yards.Completion.Allowed,Pass.Yards.Per.Game.Allowed,Penalty.Rank,Penalties,Penalty.Yards,Penalty.Yards.Per.Game,Punt.Return.Rank,Punt.Returns,Net.Punt.Return.Yards,Punt.Return.Touchdowns,Avg.Yards.Per.Punt.Return,Punt.Return.Def.Rank,Opp.Punt.Returns,Opp.Net.Punt.Return.Yards,Opp.Punt.Return.Touchdowns.Allowed,Avg.Yards.Allowed.per.Punt.Return,Redzone.Off.Rank,Redzone.Attempts,Redzone.Rush.TD,Redzone.Pass.TD,Redzone.Field.Goals.Made,Redzone.Scores,Redzone.Points,Redzone.Def.Rank,Opp.Redzone.Attempts,Opp.Redzone.Rush.TD.Allowed,Opp.Redzone.Pass.Touchdowns.Allowed,Opp.Redzone.Field.Goals.Made,Opp.Redzone.Scores,Redzone.Points.Allowed,Rushing.Off.Rank,Rush.Attempts,Rush.Yds,Yards.Rush,Rushing.TD,Rushing.Yards.per.Game,Rushing.Def.Rank,Opp.Rush.Attempts,Opp.Rush.Yards.Alloweed,Yds.Rush.Allowed,Opp.Rush.Touchdowns.Allowed,Rush.Yards.Per.Game.Allowed,Sack.Rank,Sacks,Sack.Yards,Average.Sacks.per.Game,Scoring.Def.Rank,Touchdowns.Allowed,Opponent.Extra.Points,X2.Point.Conversions.Allowed,Opp.Deflected.Extra.Points,Opp.Feild.Goals.Made,Opp.Safety,Points.Allowed,Avg.Points.per.Game.Allowed,Scoring.Off.Rank,Touchdowns,PAT,X2.Point.Conversions,Defensive.Points,Feild.Goals,Safety,Total.Points,Points.Per.Game,Tackle.for.Loss.Rank,Solo.Tackle.For.Loss,Assist.Tackle.For.Loss,Tackle.for.Loss.Yards,Total.Tackle.For.Loss,Tackle.For.Loss.Per.Game,X3rd.Down.Rank,X3rd.Attempts,X3rd.Conversions,X3rd.Percent,X3rd.Down.Def.Rank,Opp.3rd.Conversion,Opp.3rd.Attempt,Opponent.3rd.Percent,Time.of.Possession.Rank,Average.T.O.P,Turnover.Rank,Fumbles.Recovered,Opponents.Intercepted,Turnovers.Gain,Fumbles.Lost,Interceptions.Thrown.y,Turnovers.Lost,Turnover.Margin,Avg.Turnover.Margin.per.Game,Avg Rank,Net Yards Per Play,winpct
81,864,Cincinnati,2020,AAC,0,0,1,0,9,9,0,19,612,4205,6.87,46,467,11,647,2830,4.37,15,16,314,65,68,80,27,175,65,68,80,27,175,20,9,13,1,19,9,23,0,85,21,25,473,0.0,48,258,173,6,2180,8.45,12.6,18,242,20,162,316,1731,6,5.48,10.69,192.3,120,77,688,76.44,72,11,83,0,7.55,72,11,83,0,7.55,76,42,18,10,6,34,0.81,18,28,8,5,8,21,0.75,14,354,2025,5.72,28,225.0,20,331,1099,3.32,9,122.1,15,11,63,1.22,7,16,14,2,0,10,0,144,16.0,15,48,45,0,0,7,0,354,39.3,23,51,32,273,67,7.4,14,118,57,0.48,27,50,140,0.36,25,32:04:00,37,4,15,19,9,6,15,4,0.44,15.0,2.5,1.0
82,870,East Carolina,2020,AAC,0,0,0,0,9,3,6,58,655,3624,5.53,30,403,101,648,4026,6.21,40,42,447,78,86,104,13,203,78,86,104,13,203,59,10,18,1,35,8,17,0,54,14,30,284,0.0,64,293,176,9,2060,7.03,11.7,19,229,83,194,297,2214,17,7.45,11.41,246.0,87,57,524,58.22,61,10,70,0,7.0,61,10,70,0,7.0,63,35,8,11,10,29,0.83,98,40,17,9,9,35,0.88,57,362,1564,4.32,11,173.8,98,351,1812,5.16,23,201.3,89,23,145,2.56,102,42,38,1,0,9,0,319,35.4,51,33,30,1,0,14,0,272,30.2,86,37,24,166,49,5.4,108,129,43,0.33,34,45,121,0.37,39,31:05:00,90,8,10,18,12,9,21,-3,-0.33,79.5,-0.6799999999999997,0.3333333333333333
83,882,Houston,2020,AAC,0,0,0,0,8,3,5,54,590,3271,5.54,27,409,58,552,3188,5.78,28,33,399,58,72,79,15,166,58,72,79,15,166,13,14,19,1,57,7,13,1,124,11,31,313,1.0,33,297,175,10,2126,7.16,12.15,15,266,65,140,238,1848,16,7.76,13.2,231.0,109,61,546,68.25,3,4,-5,0,-1.25,3,4,-5,0,-1.25,32,26,11,7,5,23,0.89,93,31,10,11,6,27,0.87,84,293,1145,3.91,12,143.1,71,314,1340,4.27,12,167.5,68,18,108,2.25,80,33,30,2,0,8,0,256,32.0,54,31,28,1,0,8,0,240,30.0,24,48,22,224,59,7.4,66,120,48,0.4,43,44,116,0.38,35,31:18:00,121,3,3,6,6,10,16,-10,-1.25,56.0,-0.2400000000000002,0.375
84,899,Memphis,2020,AAC,0,0,0,0,11,8,3,25,819,4984,6.09,40,453,87,841,4777,5.68,37,39,434,118,93,143,14,250,118,93,143,14,250,52,14,24,1,100,22,33,1,18,19,40,331,0.0,18,423,255,10,3387,8.01,13.28,31,308,118,269,428,3181,24,7.43,11.83,289.2,43,61,520,47.27,49,9,53,0,5.89,49,9,53,0,5.89,54,45,8,23,7,38,0.84,17,43,10,15,7,32,0.74,81,396,1597,4.03,9,145.2,44,413,1596,3.86,13,145.1,41,20,113,1.82,58,39,33,2,0,12,0,307,27.9,45,42,36,4,0,15,0,341,31.0,65,59,16,243,67,6.1,33,172,77,0.45,28,58,161,0.36,88,28:48:00,56,8,12,20,9,10,19,1,0.09,56.0,0.41000000000000014,0.7272727272727273
85,908,Navy,2020,AAC,0,0,0,0,10,3,7,124,607,2750,4.53,21,275,51,644,3855,5.99,34,34,386,75,105,80,13,198,75,105,80,13,198,22,20,30,1,100,12,18,1,7,14,10,234,0.0,125,124,57,4,974,7.85,17.09,6,97,12,140,230,1808,11,7.86,12.91,180.8,17,44,402,40.2,75,9,70,0,7.78,75,9,70,0,7.78,76,21,11,2,4,17,0.81,113,44,18,5,17,40,0.91,52,483,1776,3.68,15,177.6,100,414,2047,4.94,23,204.7,74,23,123,2.3,74,34,31,0,0,22,1,303,30.3,121,21,16,2,0,6,1,166,16.6,112,35,20,138,45,4.5,106,139,47,0.34,44,48,126,0.38,56,30:26:00,76,6,3,9,7,4,11,-2,-0.2,87.5,-1.46,0.3
86,932,SMU,2020,AAC,0,0,0,0,10,7,3,11,753,4945,6.57,47,495,78,748,4222,5.64,41,41,422,105,98,115,15,228,105,98,115,15,228,110,7,18,0,80,13,22,1,9,20,47,339,0.0,14,376,246,6,3180,8.46,12.93,23,318,75,186,320,2419,22,7.56,13.01,241.9,91,68,590,59.0,70,10,75,0,7.5,70,10,75,0,7.5,10,50,19,13,14,46,0.92,62,42,15,14,6,35,0.83,54,377,1765,4.68,24,176.5,81,428,1803,4.21,19,180.3,58,21,156,2.1,76,41,39,0,0,8,0,309,30.9,16,48,43,1,0,17,1,386,38.6,18,68,16,268,76,7.6,25,147,69,0.47,91,66,152,0.43,69,29:36:00,33,10,7,17,6,6,12,5,0.5,44.5,0.9300000000000006,0.7
87,935,South Fla.,2020,AAC,0,0,0,0,9,1,8,90,650,3288,5.06,23,365,92,656,3973,6.06,41,47,441,87,99,97,14,210,87,99,97,14,210,120,7,24,0,119,11,15,1,75,18,16,394,1.0,74,313,187,6,1949,6.23,10.42,12,217,64,164,270,2062,21,7.64,12.57,229.1,52,48,436,48.44,115,19,288,2,15.16,115,19,288,2,15.16,97,32,11,10,4,25,0.78,81,42,14,14,8,36,0.86,79,337,1339,3.97,11,148.8,106,386,1911,4.95,20,212.3,113,30,177,3.33,120,47,44,0,0,11,0,359,39.9,101,26,23,1,0,9,0,208,23.1,106,37,10,105,42,4.7,117,124,38,0.31,120,71,142,0.5,95,28:27:00,96,3,10,13,11,6,17,-4,-0.44,91.0,-1.0,0.1111111111111111
88,941,Temple,2020,AAC,0,0,0,0,7,1,6,101,524,2438,4.65,16,348,86,473,3031,6.41,33,34,433,46,81,60,9,150,46,81,60,9,150,56,8,14,1,126,10,11,1,103,20,2,479,1.0,84,240,146,11,1456,6.07,9.97,11,208,55,96,170,1571,18,9.24,16.36,224.4,35,38,321,45.86,100,17,197,0,11.59,100,17,197,0,11.59,88,29,5,9,9,23,0.79,77,27,12,6,5,23,0.85,89,284,982,3.46,5,140.3,102,303,1460,4.82,15,208.6,36,12,55,1.71,110,34,32,0,0,8,0,260,37.1,113,17,10,0,0,9,0,139,19.9,72,35,12,142,41,5.9,84,116,44,0.38,96,40,91,0.44,23,32:15:00,85,9,3,12,3,11,14,-2,-0.29,93.5,-1.7599999999999998,0.14285714285714285
89,949,Tulane,2020,AAC,0,0,0,0,12,6,6,63,829,4725,5.7,53,394,77,900,5064,5.63,43,45,422,120,110,124,21,255,120,110,124,21,255,62,12,22,1,41,16,33,0,72,29,35,632,1.0,109,313,165,10,2120,6.77,12.85,21,177,115,239,395,3344,27,8.47,13.99,278.7,68,75,629,52.42,59,22,147,0,6.68,59,22,147,0,6.68,49,47,23,11,6,40,0.85,23,41,14,11,6,31,0.76,21,516,2605,5.05,32,217.1,42,505,1720,3.41,16,143.3,103,35,229,2.92,59,45,34,2,0,9,1,337,28.1,23,56,51,1,0,9,0,416,34.7,7,84,34,405,101,8.4,104,150,51,0.34,62,78,195,0.4,93,28:38:00,38,10,9,19,4,10,14,5,0.42,70.0,0.07000000000000028,0.5
90,950,Tulsa,2020,AAC,0,0,0,0,8,6,2,56,576,3243,5.63,25,405,26,578,2726,4.72,16,17,341,53,69,66,23,158,53,69,66,23,158,58,9,16,1,57,7,13,1,86,32,3,721,0.0,50,260,147,9,1928,7.42,13.12,14,241,21,151,250,1558,9,6.23,10.32,194.8,126,74,676,84.5,117,12,198,0,16.5,117,12,198,0,16.5,88,29,9,6,8,23,0.79,15,30,5,6,11,22,0.73,64,316,1315,4.16,11,164.4,46,328,1168,3.56,7,146.0,47,16,111,2.0,23,17,17,0,0,15,1,166,20.8,73,27,24,0,0,10,1,218,27.2,10,55,18,216,64,8.0,77,122,47,0.39,14,41,125,0.33,96,28:23:00,58,10,6,16,7,9,16,0,0.0,41.0,0.9100000000000001,0.75
